Date,counts,name
2024-01-01,11.0,Rennes Rue d'Isly V1
2024-01-01,3.0,Rennes Rue d'Isly V1
2024-01-01,31.0,Rennes Rue d'Isly V1
2024-01-01,28.0,Rennes Rue d'Isly V1
2024-01-01,41.0,Rennes Rue d'Isly V1
2024-01-01,12.0,Rennes Rue d'Isly V1
2024-01-01,1.0,Rennes Rue d'Isly V1
2024-01-02,2.0,Rennes Rue d'Isly V1
2024-01-02,8.0,Rennes Rue d'Isly V1
2024-01-02,7.0,Rennes Rue d'Isly V1
2024-01-03,44.0,Rennes Rue d'Isly V1
2024-01-03,80.0,Rennes Rue d'Isly V1
2024-01-03,53.0,Rennes Rue d'Isly V1
2024-01-04,46.0,Rennes Rue d'Isly V1
2024-01-05,2.0,Rennes Rue d'Isly V1
2024-01-05,33.0,Rennes Rue d'Isly V1
2024-01-05,66.0,Rennes Rue d'Isly V1
2024-01-05,49.0,Rennes Rue d'Isly V1
2024-01-06,9.0,Rennes Rue d'Isly V1
2024-01-06,2.0,Rennes Rue d'Isly V1
2024-01-06,30.0,Rennes Rue d'Isly V1
2024-01-06,51.0,Rennes Rue d'Isly V1
2024-01-07,6.0,Rennes Rue d'Isly V1
2024-01-07,2.0,Rennes Rue d'Isly V1
2024-01-07,58.0,Rennes Rue d'Isly V1
2024-01-07,71.0,Rennes Rue d'Isly V1
2024-01-07,47.0,Rennes Rue d'Isly V1
2024-01-07,44.0,Rennes Rue d'Isly V1
2024-01-07,29.0,Rennes Rue d'Isly V1
2024-01-08,2.0,Rennes Rue d'Isly V1
2024-01-08,4.0,Rennes Rue d'Isly V1
2024-01-08,59.0,Rennes Rue d'Isly V1
2024-01-08,62.0,Rennes Rue d'Isly V1
2024-01-09,0.0,Rennes Rue d'Isly V1
2024-01-09,70.0,Rennes Rue d'Isly V1
2024-01-10,4.0,Rennes Rue d'Isly V1
2024-01-10,1.0,Rennes Rue d'Isly V1
2024-01-10,2.0,Rennes Rue d'Isly V1
2024-01-10,25.0,Rennes Rue d'Isly V1
2024-01-10,89.0,Rennes Rue d'Isly V1
2024-01-10,44.0,Rennes Rue d'Isly V1
2024-01-10,71.0,Rennes Rue d'Isly V1
2024-01-10,82.0,Rennes Rue d'Isly V1
2024-01-10,128.0,Rennes Rue d'Isly V1
2024-01-10,61.0,Rennes Rue d'Isly V1
2024-01-10,48.0,Rennes Rue d'Isly V1
2024-01-10,12.0,Rennes Rue d'Isly V1
2024-01-11,3.0,Rennes Rue d'Isly V1
2024-01-11,63.0,Rennes Rue d'Isly V1
2024-01-11,28.0,Rennes Rue d'Isly V1
2024-01-11,64.0,Rennes Rue d'Isly V1
2024-01-11,109.0,Rennes Rue d'Isly V1
2024-01-11,62.0,Rennes Rue d'Isly V1
2024-01-12,10.0,Rennes Rue d'Isly V1
2024-01-12,3.0,Rennes Rue d'Isly V1
2024-01-12,22.0,Rennes Rue d'Isly V1
2024-01-12,38.0,Rennes Rue d'Isly V1
2024-01-12,60.0,Rennes Rue d'Isly V1
2024-01-12,26.0,Rennes Rue d'Isly V1
2024-01-13,10.0,Rennes Rue d'Isly V1
2024-01-13,2.0,Rennes Rue d'Isly V1
2024-01-13,42.0,Rennes Rue d'Isly V1
2024-01-13,64.0,Rennes Rue d'Isly V1
2024-01-13,82.0,Rennes Rue d'Isly V1
2024-01-13,89.0,Rennes Rue d'Isly V1
2024-01-13,34.0,Rennes Rue d'Isly V1
2024-01-14,6.0,Rennes Rue d'Isly V1
2024-01-14,6.0,Rennes Rue d'Isly V1
2024-01-14,44.0,Rennes Rue d'Isly V1
2024-01-14,27.0,Rennes Rue d'Isly V1
2024-01-15,20.0,Rennes Rue d'Isly V1
2024-01-15,90.0,Rennes Rue d'Isly V1
2024-01-15,60.0,Rennes Rue d'Isly V1
2024-01-16,1.0,Rennes Rue d'Isly V1
2024-01-16,65.0,Rennes Rue d'Isly V1
2024-01-16,42.0,Rennes Rue d'Isly V1
2024-01-16,8.0,Rennes Rue d'Isly V1
2024-01-17,18.0,Rennes Rue d'Isly V1
2024-01-17,34.0,Rennes Rue d'Isly V1
2024-01-17,44.0,Rennes Rue d'Isly V1
2024-01-17,9.0,Rennes Rue d'Isly V1
2024-01-18,58.0,Rennes Rue d'Isly V1
2024-01-18,21.0,Rennes Rue d'Isly V1
2024-01-18,82.0,Rennes Rue d'Isly V1
2024-01-18,55.0,Rennes Rue d'Isly V1
2024-01-18,16.0,Rennes Rue d'Isly V1
2024-01-19,58.0,Rennes Rue d'Isly V1
2024-01-19,24.0,Rennes Rue d'Isly V1
2024-01-20,9.0,Rennes Rue d'Isly V1
2024-01-20,68.0,Rennes Rue d'Isly V1
2024-01-20,49.0,Rennes Rue d'Isly V1
2024-01-20,43.0,Rennes Rue d'Isly V1
2024-01-21,10.0,Rennes Rue d'Isly V1
2024-01-21,4.0,Rennes Rue d'Isly V1
2024-01-21,0.0,Rennes Rue d'Isly V1
2024-01-21,2.0,Rennes Rue d'Isly V1
2024-01-21,36.0,Rennes Rue d'Isly V1
2024-01-21,49.0,Rennes Rue d'Isly V1
2024-01-22,2.0,Rennes Rue d'Isly V1
2024-01-22,77.0,Rennes Rue d'Isly V1
2024-01-22,84.0,Rennes Rue d'Isly V1
2024-01-22,55.0,Rennes Rue d'Isly V1
2024-01-23,3.0,Rennes Rue d'Isly V1
2024-01-23,4.0,Rennes Rue d'Isly V1
2024-01-23,93.0,Rennes Rue d'Isly V1
2024-01-23,70.0,Rennes Rue d'Isly V1
2024-01-23,74.0,Rennes Rue d'Isly V1
2024-01-23,109.0,Rennes Rue d'Isly V1
2024-01-24,3.0,Rennes Rue d'Isly V1
2024-01-24,4.0,Rennes Rue d'Isly V1
2024-01-24,90.0,Rennes Rue d'Isly V1
2024-01-24,94.0,Rennes Rue d'Isly V1
2024-01-25,1.0,Rennes Rue d'Isly V1
2024-01-25,28.0,Rennes Rue d'Isly V1
2024-01-25,89.0,Rennes Rue d'Isly V1
2024-01-25,77.0,Rennes Rue d'Isly V1
2024-01-25,76.0,Rennes Rue d'Isly V1
2024-01-26,17.0,Rennes Rue d'Isly V1
2024-01-26,43.0,Rennes Rue d'Isly V1
2024-01-26,100.0,Rennes Rue d'Isly V1
2024-01-26,26.0,Rennes Rue d'Isly V1
2024-01-27,84.0,Rennes Rue d'Isly V1
2024-01-27,64.0,Rennes Rue d'Isly V1
2024-01-27,60.0,Rennes Rue d'Isly V1
2024-01-27,24.0,Rennes Rue d'Isly V1
2024-01-27,20.0,Rennes Rue d'Isly V1
2024-01-28,13.0,Rennes Rue d'Isly V1
2024-01-28,8.0,Rennes Rue d'Isly V1
2024-01-28,2.0,Rennes Rue d'Isly V1
2024-01-28,4.0,Rennes Rue d'Isly V1
2024-01-28,35.0,Rennes Rue d'Isly V1
2024-01-28,51.0,Rennes Rue d'Isly V1
2024-01-29,1.0,Rennes Rue d'Isly V1
2024-01-29,58.0,Rennes Rue d'Isly V1
2024-01-29,51.0,Rennes Rue d'Isly V1
2024-01-29,124.0,Rennes Rue d'Isly V1
2024-01-30,73.0,Rennes Rue d'Isly V1
2024-01-31,76.0,Rennes Rue d'Isly V1
2024-01-31,71.0,Rennes Rue d'Isly V1
2024-01-31,74.0,Rennes Rue d'Isly V1
2024-01-31,65.0,Rennes Rue d'Isly V1
2024-01-31,29.0,Rennes Rue d'Isly V1
2024-02-01,9.0,Rennes Rue d'Isly V1
2024-02-01,24.0,Rennes Rue d'Isly V1
2024-02-01,70.0,Rennes Rue d'Isly V1
2024-02-01,35.0,Rennes Rue d'Isly V1
2024-02-01,86.0,Rennes Rue d'Isly V1
2024-02-01,18.0,Rennes Rue d'Isly V1
2024-02-02,1.0,Rennes Rue d'Isly V1
2024-02-02,21.0,Rennes Rue d'Isly V1
2024-02-02,53.0,Rennes Rue d'Isly V1
2024-02-02,79.0,Rennes Rue d'Isly V1
2024-02-02,118.0,Rennes Rue d'Isly V1
2024-02-02,40.0,Rennes Rue d'Isly V1
2024-02-02,40.0,Rennes Rue d'Isly V1
2024-02-03,2.0,Rennes Rue d'Isly V1
2024-02-03,52.0,Rennes Rue d'Isly V1
2024-02-03,27.0,Rennes Rue d'Isly V1
2024-02-04,24.0,Rennes Rue d'Isly V1
